PageId,Class,OutLinkNum0,OutLinkProp0,OutLinkNum1,OutLinkProp1,OutLinkNum2,OutLinkProp2,OutLinkNum3,OutLinkProp3,InLinkNum0,InLinkProp0,InLinkNum1,InLinkProp1,InLinkNum2,InLinkProp2,InLinkNum3,InLinkProp3
27357174,Actor,0,0,0,0,0,0,0,0,0,0.0,6,1.0,1375,0.326991676576,438400,0.312914429609
30016472,Actor,0,0,0,0,0,0,0,0,0,0.0,20,1.0,939,0.767156862745,71709,0.614199328491
12716739,Actor,1,0.0588235294118,16,0.941176470588,1521,0.502809917355,250964,0.411428533957,0,0.0,17,1.0,7,0.333333333333,32,0.432432432432
30362984,Actor,0,0,0,0,0,0,0,0,0,0.0,6,1.0,152,0.562962962963,23683,0.51728807636
7444493,Actor,1,0.1,9,0.9,381,0.624590163934,51157,0.574804211283,0,0.0,7,1.0,18,0.418604651163,761,0.919082125604
17174724,Actor,0,0.0,18,1.0,860,0.460632029995,120783,0.404207968837,0,0.0,10,1.0,86,0.217721518987,4704,0.459824046921
23194327,Actor,3,0.0882352941176,31,0.911764705882,3944,0.614330218069,512336,0.478098416218,0,0.0,10,1.0,280,0.511882998172,39734,0.208425348433
6644641,Actor,2,0.08,23,0.92,1321,0.418302723243,191363,0.364355904031,0,0.0,15,1.0,732,0.0263328297,31870,0.290009372753
12285436,Actor,3,0.176470588235,14,0.823529411765,2054,0.613683896026,302717,0.526937216702,1,0.0666666666667,14,0.933333333333,3436,0.911889596603,140437,0.577937176179
17371572,Actor,0,0.0,9,1.0,1366,0.591598094413,295141,0.483544407491,0,0.0,7,1.0,63,0.684782608696,4456,0.754359234806
10290155,Actor,11,0.611111111111,7,0.388888888889,2662,0.7119550682,331907,0.59352837038,0,0.0,9,1.0,2,0.333333333333,398,0.261326329613
5442371,Actor,3,0.157894736842,16,0.842105263158,2134,0.595756560581,344044,0.445889656424,3,0.157894736842,16,0.842105263158,471,0.740566037736,29440,0.555178396319
21246499,Actor,0,0.0,43,1.0,3882,0.614532214659,532337,0.516803940757,2,0.0344827586207,56,0.965517241379,5690,0.418197853888,901393,0.347986131406
21935912,Actor,2,0.0740740740741,25,0.925925925926,2028,0.465351078476,375116,0.374516399245,1,0.0833333333333,11,0.916666666667,386,0.762845849802,52980,0.801743315022
1700056,Actor,0,0.0,11,1.0,1376,0.417856058305,263402,0.352660329361,0,0.0,8,1.0,227,0.328509406657,19960,0.254290191482
12922238,Actor,1,0.0714285714286,13,0.928571428571,1785,0.535875112579,368907,0.450292397661,1,0.0833333333333,11,0.916666666667,476,0.627968337731,49662,0.601548021367
