PageId,Class,OutLinkNum0,OutLinkProp0,OutLinkNum1,OutLinkProp1,OutLinkNum2,OutLinkProp2,InLinkNum0,InLinkProp0,InLinkNum1,InLinkProp1,InLinkNum2,InLinkProp2
15002680,Actor,14,0.215384615385,500,0.0372828275296,27547,0.0126072418758,4,0.16,16,0.132231404959,599,0.0483103476087
477294,Actor,15,0.483870967742,302,0.092581238504,4858,0.0106125248765,12,0.292682926829,293,0.08297932597,5961,0.0103604159461
5579702,Actor,4,0.285714285714,130,0.0545989080218,5418,0.0108278790907,0,0.0,3,0.0254237288136,471,0.0214852659429
10656113,Actor,13,0.1625,986,0.137383307789,24581,0.0517713811529,3,0.0545454545455,264,0.0903490759754,17136,0.0443711370104
1752021,Actor,3,0.1,146,0.020433869839,6660,0.00564534039029,4,0.2,122,0.00346384259391,13360,0.00161513058198
18730188,Actor,4,0.8,58,0.185897435897,1282,0.0186673656008,0,0.0,0,0.0,0,0
1949860,Actor,81,0.736363636364,6772,0.365165812888,29748,0.0218809625034,88,0.765217391304,6951,0.417377206677,27707,0.0188399046683
1921274,Actor,81,0.818181818182,6743,0.444788918206,29127,0.0293931550187,89,0.780701754386,6952,0.55593762495,26577,0.0353637165633
20222160,Actor,9,0.176470588235,110,0.00964827646698,3528,0.00192239475461,5,0.208333333333,73,0.0830489192264,3677,0.0124379287483
4513518,Actor,57,0.850746268657,3325,0.532255482632,24206,0.0625465106664,50,0.819672131148,2800,0.470430107527,21918,0.0820892727395
1288963,Actor,68,0.739130434783,1528,0.222610722611,31048,0.0358282808934,4,0.2,796,0.332915098285,23482,0.0527348838045
1070039,Actor,3,0.0545454545455,112,0.00881820329108,7947,0.00416670817471,0,0,0,0,0,0
16235796,Actor,1,0.0238095238095,46,0.00591259640103,4368,0.00431067236818,1,0.1,84,0.0388170055453,5967,0.0145410326643
2668226,Actor,116,0.428044280443,12776,0.228232519919,34110,0.00887819999766,113,0.321022727273,12707,0.109641402637,41550,0.00300703885919
2903162,Actor,1,0.04,27,0.00597080937638,1471,0.00204241162856,0,0.0,8,0.037037037037,447,0.0165518773606
14478631,Actor,4,0.285714285714,176,0.0756338633434,15865,0.040787626682,1,0.00862068965517,35,0.00808874508898,4920,0.00976529548951
1790624,Actor,4,0.333333333333,234,0.0554108453706,15926,0.0198187121695,0,0,0,0,0,0
3920757,Actor,21,0.313432835821,974,0.128326745718,31109,0.0416477008017,31,0.62,2066,0.383444691908,29693,0.0536501546645
31149,Actor,2,0.0645161290323,123,0.0231072703363,12970,0.0128954513955,2,0.0769230769231,49,0.0125255623722,3369,0.00298920373078
2778641,Actor,4,0.4,211,0.060632183908,9795,0.0199194680007,2,0.25,85,0.00903870693322,7443,0.00354635949022
2672214,Actor,5,0.238095238095,314,0.0693156732892,13533,0.0152098049463,1,0.111111111111,3,0.00141176470588,111,9.71042803742e-05
