Class,OutLinkNum,OutLinkProp,InLinkNum,InLinkProp
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0.0
Nonactor,17,0.283333333333,23,0.589743589744
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0.0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0,1,1.0
Nonactor,0,0,0,0.0
Nonactor,0,0.0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0
Nonactor,0,0,0,0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0.0,0,0.0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0.0
Nonactor,0,0.0,0,0.0
Nonactor,0,0,0,0
Nonactor,0,0,0,0
Actor,78,0.238532110092,71,0.371727748691
Actor,117,0.142509135201,193,0.350909090909
Actor,60,0.204081632653,23,0.27380952381
Actor,30,0.0575815738964,0,0
Actor,104,0.212678936605,0,0
Actor,294,0.441441441441,46,0.328571428571
Actor,24,0.166666666667,0,0
Actor,5,0.0632911392405,0,0
Actor,109,0.222903885481,0,0
Actor,39,0.134020618557,45,0.263157894737
Actor,3,0.016393442623,0,0.0
Actor,57,0.182692307692,20,0.25
Actor,176,0.278922345483,140,0.377358490566
Actor,28,0.0411764705882,24,0.269662921348
Actor,36,0.149377593361,0,0
Actor,162,0.329938900204,77,0.452941176471
Actor,9,0.0681818181818,10,0.212765957447
Actor,18,0.0818181818182,8,0.190476190476
Actor,98,0.0879712746858,16,0.109589041096
Actor,7,0.0357142857143,0,0.0
Actor,5,0.106382978723,2,0.117647058824
Actor,82,0.436170212766,182,0.548192771084
Actor,1,0.037037037037,0,0.0
Actor,9,0.104651162791,10,0.119047619048
Actor,22,0.271604938272,0,0
Actor,7,0.125,15,0.2
Actor,0,0.0,0,0.0
Actor,13,0.12037037037,31,0.238461538462
Actor,0,0.0,0,0
Actor,3,0.063829787234,0,0.0
Actor,0,0,1,0.03125
Actor,0,0,0,0.0
Actor,0,0,0,0.0
Actor,0,0,0,0.0
Actor,0,0,0,0.0
Actor,0,0,5,0.217391304348
Actor,0,0,0,0.0
Actor,0,0,0,0.0
Actor,0,0,1,0.0526315789474
Actor,0,0,8,0.115942028986
Actor,0,0,3,0.5
Actor,0,0,0,0.0
Actor,0,0,5,0.0961538461538
Actor,0,0,1,0.0294117647059
Actor,0,0,0,0
Actor,0,0,0,0.0
Actor,0,0,2,0.0833333333333
Actor,0,0,3,0.111111111111
Actor,0,0,4,0.2
Actor,0,0,3,0.5
